2007 NAICS US,2007 NAICS US TITLE,ISIC 4.0,ISIC Revision 4.0 Title,"Notes:  link content based on NAICS definition, entire NAICS industry if blank"
A,,A,,
B,,B,,
C,,F,,
D,,C,,
E,,H,,
E,,J,,
E,,D,,
E,,E,,
F,,G,,
G,,G,,
H,,K,,
H,,L,,
I,,Q,,
I,,R,,
I,,S,,
J,,O,,
111110,Soybean Farming,111,"Growing of cereals (except rice), leguminous crops and oil seeds", 
111120,Oilseed (except Soybean) Farming,111,"Growing of cereals (except rice), leguminous crops and oil seeds", 
111130,Dry Pea and Bean Farming,111,"Growing of cereals (except rice), leguminous crops and oil seeds", 
111140,Wheat Farming,111,"Growing of cereals (except rice), leguminous crops and oil seeds", 
111150,Corn Farming,111,"Growing of cereals (except rice), leguminous crops and oil seeds", 
111160,Rice Farming,112,Growing of rice, 
111191,Oilseed and Grain Combination Farming,111,"Growing of cereals (except rice), leguminous crops and oil seeds", 
111199,All Other Grain Farming,111,"Growing of cereals (except rice), leguminous crops and oil seeds", 
111211,Potato Farming,113,"Growing of vegetables and melons, roots and tubers", 
111219,Other Vegetable (except Potato) and Melon Farming,113,"Growing of vegetables and melons, roots and tubers","except kale, mangold wurzel, and pepper farming"
111219,Other Vegetable (except Potato) and Melon Farming,119,Growing of other non-perennial crops,"kale, mangold wurzel, etc. farming"
111219,Other Vegetable (except Potato) and Melon Farming,128,"Growing of spices, aromatic, drug and pharmaceutical crops","pepper farming (e.g., bell, chili, red, green)"
111310,Orange Groves,123,Growing of citrus fruits, 
111320,Citrus (except Orange) Groves,123,Growing of citrus fruits, 
111331,Apple Orchards,124,Growing of pome fruits and stone fruits, 
111332,Grape Vineyards,121,Growing of grapes, 
111333,Strawberry Farming,125,Growing of other tree and bush fruits and nuts, 
111334,Berry (except Strawberry) Farming,125,Growing of other tree and bush fruits and nuts, 
111335,Tree Nut Farming,125,Growing of other tree and bush fruits and nuts,except nuts used chiefly for oil extraction
111335,Tree Nut Farming,126,Growing of oleaginous fruits,nuts used chiefly for oil extraction including tung nuts
111336,Fruit and Tree Nut Combination Farming,012X,Growing of perennial crops,Link to ISIC group level - combination fruit and tree nut farming
111339,Other Noncitrus Fruit Farming,122,Growing of tropical and subtropical fruits,banana and other tropical or subtropical fruit farming
111339,Other Noncitrus Fruit Farming,124,Growing of pome fruits and stone fruits,"growing of apricots, peaches, cherries and other stone or pome fruits"
111339,Other Noncitrus Fruit Farming,125,Growing of other tree and bush fruits and nuts,other noncitrus fruit seed growing
111339,Other Noncitrus Fruit Farming,126,Growing of oleaginous fruits,growing of olives and coconuts and other oleaginous fruits
111339,Other Noncitrus Fruit Farming,127,Growing of beverage crops,growing coffee 
111411,Mushroom Production,113,"Growing of vegetables and melons, roots and tubers", 
