
"CT0144 - Occupation (full) by industry (full) (national)"
"ONS Crown Copyright Reserved [from Nomis on 26 April 2018]"
"Population :","All usual residents aged 16 and over in employment the week before the census"
"Units      :","Persons"
"Date       :","2011"
"Geography  :","England and Wales (K04000001)"

"Industry","All categories: Occupation (full)","1 Managers, directors and senior officials","11 Corporate managers and directors","111 Chief Executives and Senior Officials","112 Production Managers and Directors","113 Functional Managers and Directors","115 Financial Institution Managers and Directors","116 Managers and Directors in Transport and Logistics","117 Senior Officers in Protective Services","118 Health and Social Services Managers and Directors","119 Managers and Directors in Retail and Wholesale","12 Other managers and proprietors","121 Managers and Proprietors in Agriculture Related Services","122 Managers and Proprietors in Hospitality and Leisure Services","124 Managers and Proprietors in Health and Care Services","125 Managers and Proprietors in Other Services","2 Professional occupations","21 Science, research, engineering and technology professionals","211 Natural and Social Science Professionals","212 Engineering Professionals","213 Information Technology and Telecommunications Professionals","214 Conservation and Environment Professionals","215 Research and Development Managers","22 Health professionals","221 Health Professionals","222 Therapy Professionals","223 Nursing and Midwifery Professionals","23 Teaching and educational professionals","231 Teaching and Educational Professionals","24 Business, media and public service professionals","241 Legal Professionals","242 Business, Research and Administrative Professionals","243 Architects, Town Planners and Surveyors","244 Welfare Professionals","245 Librarians and Related Professionals","246 Quality and Regulatory Professionals","247 Media Professionals","3 Associate professional and technical occupations","31 Science, engineering and technology associate professionals","311 Science, Engineering and Production Technicians","312 Draughtspersons and Related Architectural Technicians","313 Information Technology Technicians","32 Health and social care associate professionals","321 Health Associate Professionals","323 Welfare and Housing Associate Professionals","33 Protective service occupations","331 Protective Service Occupations","34 Culture, media and sports occupations","341 Artistic, Literary and Media Occupations","342 Design Occupations","344 Sports and Fitness Occupations","35 Business and public service associate professionals","351 Transport Associate Professionals","352 Legal Associate Professionals","353 Business, Finance and Related Associate Professionals","354 Sales, Marketing and Related Associate Professionals","355 Conservation and Environmental associate professionals","356 Public Services and Other Associate Professionals","4 Administrative and secretarial occupations","41 Administrative occupations","411 Administrative Occupations: Government and Related Organisations","412 Administrative Occupations: Finance","413 Administrative Occupations: Records","415 Other Administrative Occupations","416 Administrative Occupations: Office Managers and Supervisors","42 Secretarial and related occupations","421 Secretarial and Related Occupations","5 Skilled trades occupations","51 Skilled agricultural and related trades","511 Agricultural and Related Trades","52 Skilled metal, electrical and electronic trades","521 Metal Forming, Welding and Related Trades","522 Metal Machining, Fitting and Instrument Making Trades","523 Vehicle Trades","524 Electrical and Electronic Trades","525 Skilled Metal, Electrical and Electronic Trades Supervisors","53 Skilled construction and building trades","531 Construction and Building Trades","532 Building Finishing Trades","533 Construction and Building Trades Supervisors","54 Textiles, printing and other skilled trades","541 Textiles and Garments Trades","542 Printing Trades","543 Food Preparation and Hospitality Trades","544 Other Skilled Trades","6 Caring, leisure and other service occupations","61 Caring personal service occupations","612 Childcare and Related Personal Services","613 Animal Care and Control Services","614 Caring Personal Services","62 Leisure, travel and related personal service occupations","621 Leisure and Travel Services","622 Hairdressers and Related Services","623 Housekeeping and Related Services","624 Cleaning and Housekeeping Managers and Supervisors","7 Sales and customer service occupations","71 Sales occupations","711 Sales Assistants and Retail Cashiers","712 Sales Related Occupations","713 Sales Supervisors","72 Customer service occupations","721 Customer Service Occupations","722 Customer Service Managers and Supervisors","8 Process, plant and machine operatives","81 Process, plant and machine operatives","811 Process Operatives","812 Plant and Machine Operatives","813 Assemblers and Routine Operatives","814 Construction Operatives","82 Transport and mobile machine drivers and operatives","821 Road Transport Drivers","822 Mobile Machine Drivers and Operatives","823 Other Drivers and Transport Operatives","9 Elementary occupations","91 Elementary trades and related occupations","911 Elementary Agricultural Occupations","912 Elementary Construction Occupations","913 Elementary Process Plant Occupations","92 Elementary administration and service occupations","921 Elementary Administration Occupations","923 Elementary Cleaning Occupations","924 Elementary Security Occupations","925 Elementary Sales Occupations","926 Elementary Storage Occupations","927 Other Elementary Services Occupations"

"All categories: Industry (full)",26681568,2883590,1870218,58714,449028,502458,129708,140375,54427,89893,445615,1013372,32280,302532,71005,607555,4638066,1114332,127147,354666,576631,28247,27641,1025438,373217,93387,558834,1161176,1161176,1337120,171109,576369,208979,145636,29007,72287,133733,3379184,426959,222520,43738,160701,313472,99571,213901,394783,394783,554414,314943,124671,114800,1689556,27457,55281,522455,708021,6427,369915,3052488,2273622,414396,649038,382638,660999,166551,778866,778866,3069047,309654,309654,1056013,98188,281793,267714,364317,44001,1040897,791028,211886,37983,662483,47202,63974,458399,92908,2502256,1878295,731449,61987,1084859,623961,176173,262150,127456,58182,2250261,1827765,1559802,132944,135019,422496,356314,66182,1931309,911707,276129,261789,207994,165795,1019602,826623,121510,71469,2975367,456344,72808,137055,246481,2519023,232669,703492,301113,97441,404163,780145
"A Agriculture, forestry and fishing",237805,21737,2779,184,919,723,20,493,10,26,404,18958,16938,366,32,1622,4100,1962,1262,335,208,118,39,411,133,28,250,290,290,1437,39,907,127,66,26,221,51,4074,695,556,26,113,188,53,135,68,68,605,320,68,217,2518,50,4,438,1420,107,499,10334,5752,126,2018,585,2481,542,4582,4582,122787,111437,111437,5399,2433,2046,256,602,62,3891,3027,782,82,2060,188,84,1306,482,6289,5219,417,3932,870,1070,113,141,754,62,2277,1971,1559,323,89,306,255,51,11506,4606,2252,911,838,605,6900,3106,3671,123,54701,49262,43723,554,4985,5439,507,2353,328,85,1226,940
"01.1 Growing of non-perennial crops; 01.2 Growing of perennial crops; 01.3 Plant propagation",45920,6105,1061,54,393,257,7,158,0,1,191,5044,4579,52,5,408,1158,634,474,67,67,12,14,57,8,5,44,22,22,445,10,270,24,17,4,107,13,1111,228,188,5,35,31,13,18,8,8,84,50,22,12,760,0,0,122,552,7,79,2562,1647,24,528,172,719,204,915,915,17674,16071,16071,657,54,424,52,112,15,564,435,115,14,382,33,22,172,155,548,390,153,75,162,158,20,25,101,12,921,827,701,88,38,94,79,15,3037,1322,706,170,317,129,1715,793,905,17,12804,11545,9598,104,1843,1259,118,470,47,17,395,212
"01.4 Animal production",69784,5919,704,36,242,161,5,157,5,9,89,5215,4754,115,8,338,917,263,104,66,64,16,13,171,60,11,100,166,166,317,9,217,15,19,6,40,11,1232,245,207,2,36,86,18,68,29,29,264,117,21,126,608,4,3,113,316,5,167,2272,1314,26,420,220,549,99,958,958,35998,33448,33448,857,146,439,61,194,17,1036,794,222,20,657,43,21,518,75,3700,3407,121,2970,316,293,40,59,175,19,609,513,375,130,8,96,81,15,3109,1592,1016,193,208,175,1517,1098,386,33,16028,14354,13074,122,1158,1674,124,659,144,35,373,339
"01.5 Mixed farming",10611,989,79,11,18,22,0,19,0,0,9,910,820,16,1,73,95,31,18,9,3,1,0,8,4,0,4,2,2,54,2,41,3,1,1,3,3,85,8,8,0,0,8,1,7,1,1,23,18,2,3,45,0,0,17,21,1,6,421,178,4,74,4,73,23,243,243,6254,5877,5877,126,30,72,4,15,5,172,135,32,5,79,11,3,52,13,138,83,12,47,24,55,2,6,44,3,55,47,39,6,2,8,7,1,302,73,15,16,15,27,229,88,141,0,2272,2119,2057,13,49,153,8,82,13,3,23,24
"01.6 Support activities to agriculture and post-harvest crop activities",16078,1178,267,14,99,80,1,49,0,0,24,911,784,18,4,105,777,509,363,87,31,21,7,51,31,5,15,15,15,202,4,123,17,9,1,43,5,528,117,88,5,24,24,6,18,3,3,36,24,4,8,348,2,0,58,199,8,81,1122,711,16,257,95,282,61,411,411,6628,3558,3558,2586,1989,486,28,77,6,407,341,60,6,77,16,5,37,19,469,422,10,361,51,47,4,15,17,11,157,125,77,27,21,32,21,11,2179,643,248,183,166,46,1536,302,1227,7,3040,2527,1143,50,1334,513,47,177,15,9,220,45
"01.7 Hunting, trapping and related service activities",466,20,2,0,0,0,0,2,0,0,0,18,4,4,1,9,8,0,0,0,0,0,0,0,0,0,0,2,2,6,0,3,3,0,0,0,0,20,0,0,0,0,0,0,0,0,0,7,1,0,6,13,0,0,1,3,1,8,15,9,0,1,1,7,0,6,6,184,168,168,1,0,0,0,1,0,8,8,0,0,7,0,0,7,0,174,168,0,165,3,6,2,1,1,2,5,4,3,0,1,1,1,0,6,4,1,2,0,1,2,1,1,0,34,28,23,2,3,6,0,2,0,0,2,2
"Farming not otherwise specified",83378,5752,424,47,91,135,6,68,4,9,64,5328,4670,137,11,510,694,278,144,79,27,26,2,97,12,4,81,63,63,256,12,174,19,14,10,21,6,579,67,47,8,12,29,14,15,15,15,132,76,12,44,336,0,0,78,193,11,54,3277,1435,22,620,56,645,92,1842,1842,51927,48801,48801,998,198,553,82,151,14,1482,1160,302,20,646,74,30,411,131,1137,667,109,287,271,470,20,28,408,14,367,323,250,58,15,44,37,7,2255,639,161,204,86,188,1616,683,921,12,17390,15832,15146,218,468,1558,183,891,68,15,145,256
"02 Forestry and logging",5908,795,125,8,41,43,1,20,0,5,7,670,560,9,2,99,338,177,113,18,11,34,1,23,16,2,5,16,16,122,2,58,45,3,3,5,6,279,19,11,5,3,7,1,6,8,8,30,21,4,5,215,0,1,29,94,64,27,424,310,27,62,34,150,37,114,114,986,724,724,91,4,44,15,25,3,109,83,11,15,62,3,1,15,43,66,48,10,13,25,18,11,2,4,1,48,30,20,9,1,18,18,0,339,188,17,128,21,22,151,73,76,2,2633,2502,2420,29,53,131,15,49,9,4,29,25
