country,county
England,Avon
England,Bedfordshire
England,Berkshire
England,Buckinghamshire
England,Cambridgeshire
England,Cheshire
England,Cleveland
England,Cornwall
England,County Durham
England,Cumbria
England,Derbyshire
England,Devon
England,Dorset
England,East Sussex
England,Essex
England,Gloucestershire
England,Greater London
England,Greater Manchester
England,Hampshire
England,Herefordshire
England,Hertfordshire
England,Isle of Wight
England,Isles of Scilly
England,Kent
England,Lancashire
England,Leicestershire
England,Lincolnshire
England,Merseyside
England,Middlesex
England,Norfolk
England,North Humberside
England,North Yorkshire
England,Northamptonshire
England,Northumberland
England,Nottinghamshire
England,Oxfordshire
England,Rutland
England,Shropshire
England,Somerset
England,South Yorkshire
England,Staffordshire
England,Suffolk
England,Surrey
England,Tyne and Wear
England,Warwickshire
England,West Midlands
England,West Sussex
England,West Yorkshire
England,Wiltshire
England,Worcestershire
England,Yorkshire
Northern Ireland,County Antrim
Northern Ireland,County Armagh
Northern Ireland,County Down
Northern Ireland,County Fermanagh
Northern Ireland,County Londonderry
Northern Ireland,County Tyrone
Scotland,Aberdeenshire
Scotland,Angus
Scotland,Argyllshire
Scotland,Ayrshire
Scotland,Banffshire
Scotland,Borders
Scotland,Caithness
Scotland,Clackmannanshire
Scotland,Dumfriesshire
Scotland,Dunbartonshire
Scotland,East Lothian
Scotland,Fife
Scotland,Humberside
Scotland,Inverness-shire
Scotland,Isle of Arran
Scotland,Isle of Barra
Scotland,Isle of Benbecula
Scotland,Isle of Bute
Scotland,Isle of Canna
Scotland,Isle of Coll
Scotland,Isle of Colonsay
Scotland,Isle of Cumbrae
Scotland,Isle of Eigg
Scotland,Isle of Gigha
Scotland,Isle of Harris
Scotland,Isle of Iona
Scotland,Isle of Jura
Scotland,Isle of Lewis
Scotland,Isle of Man
Scotland,Isle of Mull
Scotland,Isle of North Uist
Scotland,Isle of Orkney
Scotland,Isle of Rhum
Scotland,Isle of Scalpay
Scotland,Isle of Shetland
Scotland,Isle of Skye
Scotland,Isle of South Uist
Scotland,Isle of Tiree
Scotland,Kincardineshire
Scotland,Kinross-shire
Scotland,Kirkudbrightshire
Scotland,Lanarkshire
Scotland,Lothian
Scotland,Midlothian
Scotland,Morayshire
Scotland,Nairnshire
Scotland,Peebleshire
Scotland,Perthshire
Scotland,Renfrewshire
Scotland,Ross-shire
Scotland,Roxburghshire
Scotland,Selkirkshire
Scotland,Stirlingshire
Scotland,Strathclyde
Scotland,Strathclyde
Scotland,Sutherland
Scotland,Tayside
Scotland,West Lothian
Scotland,Wigtownshire
Wales,Clwyd
Wales,Dyfed
Wales,Gwent
Wales,Gwynedd
Wales,Mid Glamorgan
Wales,Powys
Wales,South Glamorgan
Wales,West Glamorgan
