SIC,SIC Industry,2002 NAICS,NAICS Industry,SIC to NAICS Employment Ratio
10-1000,Metal mining,10-212000,"Mining, except oil and gas",93.1
10-1000,Metal mining,10-213000,Support activities for mining,3.8
10-1000,Metal mining,60-550000,Management of companies & enterprises,1.8
10-1000,Metal mining,20-238000,Specialty trade contractors,1.1
10-1200,Coal mining,10-212000,"Mining, except oil and gas",92.8
10-1200,Coal mining,10-213000,Support activities for mining,3.8
10-1200,Coal mining,60-550000,Management of companies & enterprises,1.9
10-1200,Coal mining,20-238000,Specialty trade contractors,1.4
10-1300,Oil and gas extraction,10-213000,Support activities for mining,55.4
10-1300,Oil and gas extraction,10-211000,Oil and gas extraction,36.9
10-1300,Oil and gas extraction,20-238000,Specialty trade contractors,3.8
10-1300,Oil and gas extraction,60-540000,Professional and technical services,1.5
10-1300,Oil and gas extraction,60-550000,Management of companies & enterprises,1.4
10-1400,"Nonmetallic minerals, except fuels",10-212000,"Mining, except oil and gas",95.1
10-1400,"Nonmetallic minerals, except fuels",60-550000,Management of companies & enterprises,2.9
20-1500,General building contractors,20-236000,Construction of buildings,99.4
20-1600,"Heavy construction, except building",20-237000,Heavy and civil engineering construction,86.6
20-1600,"Heavy construction, except building",20-236000,Construction of buildings,9.8
20-1600,"Heavy construction, except building",20-238000,Specialty trade contractors,2.8
20-1700,Special trade contractors,20-238000,Specialty trade contractors,97.4
20-1700,Special trade contractors,20-237000,Heavy and civil engineering construction,1.1
31-2400,Lumber and wood products,31-321000,Wood products,73.4
31-2400,Lumber and wood products,31-337000,Furniture and related products,14.3
31-2400,Lumber and wood products,10-113300,Logging,8.8
31-2400,Lumber and wood products,60-550000,Management of companies & enterprises,1.8
31-2400,Lumber and wood products,31-339000,Miscellaneous manufacturing,1.5
31-2500,Furniture and fixtures,31-337000,Furniture and related products,91
31-2500,Furniture and fixtures,31-336000,Transportation equipment,5.6
31-2500,Furniture and fixtures,60-550000,Management of companies & enterprises,2
31-3200,"Stone, clay, and glass products",31-327000,Nonmetallic mineral products,94.7
31-3200,"Stone, clay, and glass products",60-550000,Management of companies & enterprises,2.3
31-3200,"Stone, clay, and glass products",10-212000,"Mining, except oil and gas",1.1
31-3200,"Stone, clay, and glass products",60-540000,Professional and technical services,1
31-3300,Primary metal industries,31-331000,Primary metals,87.6
31-3300,Primary metal industries,31-335000,Electrical equipment and appliances,5.5
31-3300,Primary metal industries,31-332000,Fabricated metal products,4
31-3300,Primary metal industries,60-550000,Management of companies & enterprises,1.9
31-3400,Fabricated metal products,31-332000,Fabricated metal products,88.4
31-3400,Fabricated metal products,31-336000,Transportation equipment,8.1
31-3400,Fabricated metal products,31-333000,Machinery,1.8
31-3500,Industrial machinery and equipment,31-333000,Machinery,63.4
31-3500,Industrial machinery and equipment,31-332000,Fabricated metal products,16.4
31-3500,Industrial machinery and equipment,31-334000,Computer and electronic products,14.6
31-3500,Industrial machinery and equipment,31-336000,Transportation equipment,2.3
31-3500,Industrial machinery and equipment,60-550000,Management of companies & enterprises,1.8
31-3600,Electronic and other electrical equipment,31-334000,Computer and electronic products,59.3
31-3600,Electronic and other electrical equipment,31-335000,Electrical equipment and appliance,30.9
31-3600,Electronic and other electrical equipment,31-336000,Transportation equipment,4.6
31-3600,Electronic and other electrical equipment,60-550000,Management of companies & enterprises,2.2
31-3600,Electronic and other electrical equipment,60-540000,Professional and technical services,1.6
31-3700,Transportation equipment,31-336000,Transportation equipment,92.8
31-3700,Transportation equipment,60-540000,Professional and technical services,3.1
31-3700,Transportation equipment,60-550000,Management of companies & enterprises,2.3
31-3800,Instruments and related products,31-334000,Computer and electronic products,56.1
31-3800,Instruments and related products,31-339000,Miscellaneous manufacturing,29.5
31-3800,Instruments and related products,31-333000,Machinery,6.1
31-3800,Instruments and related products,32-325000,Chemicals,4.6
31-3800,Instruments and related products,60-550000,Management of companies & enterprises,2.4
31-3900,Miscellaneous manufacturing industries,31-339000,Miscellaneous manufacturing,90.1
31-3900,Miscellaneous manufacturing industries,31-332000,Fabricated metal products,2.3
31-3900,Miscellaneous manufacturing industries,32-326000,Plastics and rubber products,2.1
31-3900,Miscellaneous manufacturing industries,60-550000,Management of companies & enterprises,2.1
31-3900,Miscellaneous manufacturing industries,32-323000,Printing and related support activities,1.1
32-2000,Food and kindred products,32-311000,Food manufacturing,86
32-2000,Food and kindred products,32-312000,Beverages and tobacco products,9.5
32-2000,Food and kindred products,60-550000,Management of companies & enterprises,3.3
32-2100,Tobacco products,32-312000,Beverages and tobacco products,90.3
32-2100,Tobacco products,60-550000,Management of companies & enterprises,9.1
32-2200,Textile mill products,32-313000,Textile mills,67.5
32-2200,Textile mill products,32-314000,Textile product mills,14.9
32-2200,Textile mill products,32-315000,Apparel,12.8
32-2200,Textile mill products,60-550000,Management of companies & enterprises,2.1
32-2200,Textile mill products,43-493000,Warehousing and storage,1.4
32-2200,Textile mill products,60-540000,Professional and technical services,1.4
32-2300,Apparel and other textile products,32-315000,Apparel,65
32-2300,Apparel and other textile products,32-314000,Textile product mills,20.7
32-2300,Apparel and other textile products,31-336000,Transportation equipment,5.4
32-2300,Apparel and other textile products,32-323000,Printing and related support activities,4.9
32-2300,Apparel and other textile products,60-550000,Management of companies & enterprises,1.9
32-2600,Paper and allied products,32-322000,Paper and paper products,90.6
32-2600,Paper and allied products,32-326000,Plastics and rubber products,5.2
32-2600,Paper and allied products,60-550000,Management of companies & enterprises,3.7
32-2700,Printing and publishing,50-511000,"Publishing industries, except Internet",48.3
32-2700,Printing and publishing,32-323000,Printing and related support activities,48.3
32-2700,Printing and publishing,60-550000,Management of companies & enterprises,1.8
32-2800,Chemicals and allied products,32-325000,Chemicals,87.8
32-2800,Chemicals and allied products,60-550000,Management of companies & enterprises,7.4
32-2800,Chemicals and allied products,60-540000,Professional and technical services,3.4
32-2900,Petroleum and coal products,32-324000,Petroleum and coal products,92.6
32-2900,Petroleum and coal products,60-550000,Management of companies & enterprises,6
32-2900,Petroleum and coal products,60-540000,Professional and technical services,1
32-3000,Rubber and miscellaneous plastics products,32-326000,Plastics and rubber products,88.9
