,SIC,SIC Industry,2002 NAICS,NAICS Industry,SIC to NAICS Employment Ratio,SIC_clean
0,1000,Metal mining,212000,"Mining, except oil and gas",93.1,
4,1200,Coal mining,212000,"Mining, except oil and gas",92.8,
8,1300,Oil and gas extraction,213000,Support activities for mining,55.4,
9,1300,Oil and gas extraction,211000,Oil and gas extraction,36.9,
13,1400,"Nonmetallic minerals, except fuels",212000,"Mining, except oil and gas",95.1,
15,1500,General building contractors,236000,Construction of buildings,99.4,
16,1600,"Heavy construction, except building",237000,Heavy and civil engineering construction,86.6,
19,1700,Special trade contractors,238000,Specialty trade contractors,97.4,
21,2400,Lumber and wood products,321000,Wood products,73.4,
26,2500,Furniture and fixtures,337000,Furniture and related products,91.0,
29,3200,"Stone, clay, and glass products",327000,Nonmetallic mineral products,94.7,
33,3300,Primary metal industries,331000,Primary metals,87.6,
37,3400,Fabricated metal products,332000,Fabricated metal products,88.4,
40,3500,Industrial machinery and equipment,333000,Machinery,63.4,
45,3600,Electronic and other electrical equipment,334000,Computer and electronic products,59.3,
46,3600,Electronic and other electrical equipment,335000,Electrical equipment and appliance,30.9,
50,3700,Transportation equipment,336000,Transportation equipment,92.8,
53,3800,Instruments and related products,334000,Computer and electronic products,56.1,
54,3800,Instruments and related products,339000,Miscellaneous manufacturing,29.5,
58,3900,Miscellaneous manufacturing industries,339000,Miscellaneous manufacturing,90.1,
63,2000,Food and kindred products,311000,Food manufacturing,86.0,
66,2100,Tobacco products,312000,Beverages and tobacco products,90.3,
68,2200,Textile mill products,313000,Textile mills,67.5,
74,2300,Apparel and other textile products,315000,Apparel,65.0,
75,2300,Apparel and other textile products,314000,Textile product mills,20.7,
79,2600,Paper and allied products,322000,Paper and paper products,90.6,
82,2700,Printing and publishing,511000,"Publishing industries, except Internet",48.3,
83,2700,Printing and publishing,323000,Printing and related support activities,48.3,
85,2800,Chemicals and allied products,325000,Chemicals,87.8,
88,2900,Petroleum and coal products,324000,Petroleum and coal products,92.6,
91,3000,Rubber and miscellaneous plastics products,326000,Plastics and rubber products,88.9,
94,3100,Leather and leather products,316000,Leather and allied products,91.8,
98,4000,Railroad transportation,482000,Rail transportation,97.4,
100,4100,Local and interurban passenger transit,485000,Transit and ground passenger transportation,78.0,
103,4200,Trucking and warehousing,484000,Truck transportation,74.6,
108,4400,Water transportation,488000,Support activities for transportation,47.5,
109,4400,Water transportation,483000,Water transportation,28.7,
114,4500,Transportation by air,481000,Air transportation,48.6,
115,4500,Transportation by air,492000,Couriers and messengers,36.0,
119,4600,"Pipelines, except natural gas",486000,Pipeline transportation,95.6,
121,4700,Transportation services,488000,Support activities for transportation,49.7,
122,4700,Transportation services,561000,Administrative and support services,45.6,
125,4800,Communications,517000,Telecommunications,76.5,
128,4900,"Electric, gas, and sanitary services",220000,Utilities,70.1,
133,5000,"Wholesale trade, durable goods",423000,Durable goods,77.6,
140,5100,"Wholesale trade, nondurable goods",424000,Nondurable goods,73.6,
149,5200,Building materials and garden supplies,444000,Building material & garden supply stores,94.2,
152,5300,General merchandise stores,452000,General merchandise stores,94.3,
155,5400,Food stores,445000,Food and beverage stores,77.9,
163,5500,Automotive dealers and service stations,441000,Motor vehicle and parts dealers,72.2,
164,5500,Automotive dealers and service stations,447000,Gasoline stations,26.0,
166,5600,Apparel and accessory stores,448000,Clothing and clothing accessories stores,95.1,
168,5700,Furniture and home furnishings stores,442000,Furniture and home furnishings stores,44.0,
169,5700,Furniture and home furnishings stores,443000,Electronics and appliance stores,36.3,
175,5800,Eating and drinking places,722000,Food services and drinking places,98.9,
176,5900,Miscellaneous retail establishments,446000,Health and personal care stores,27.1,
177,5900,Miscellaneous retail establishments,453000,Miscellaneous store retailers,26.4,
184,6000,Depository institutions,522000,Credit intermediation & related activities,90.1,
189,6100,Nondepository institutions,522000,Credit intermediation & related activities,97.7,
191,6200,Security and commodity brokers,523000,"Securities, commodity contracts, investments",97.6,
193,6700,Holding and other investment offices,550000,Management of companies & enterprises,43.6,
198,6300,Insurance carriers,524000,Insurance carriers and related activities,91.0,
201,6400,"Insurance agents, brokers, and services",524000,Insurance carriers and related activities,99.4,
202,6500,Real estate,531000,Real estate,85.2,
208,0700,Agricultural services,561000,Administrative and support services,58.2,
209,0700,Agricultural services,540000,Professional and technical services,33.7,
211,7000,Hotels and other lodging places,721000,Accommodations,98.9,
212,7200,Personal services,812000,Personal and laundry services,76.9,
216,7300,Business services,561000,Administrative and support services,64.4,
217,7300,Business services,540000,Professional and technical services,20.7,
221,7500,"Auto repair, services, and parking",811000,Repair and maintenance,71.4,
226,7600,Miscellaneous repair services,811000,Repair and maintenance,77.9,
233,7800,Motion pictures,512000,Motion picture and sound recording industries,59.4,
234,7800,Motion pictures,532000,Rental and leasing services,27.7,
238,7900,Amusement and recreation services,713000,"Amusements, gambling, and recreation",72.6,
242,8000,Health services,621000,Ambulatory health care services,41.8,
243,8000,Health services,622000,Hospitals,38.8,
246,8100,Legal services,540000,Professional and technical services,99.2,
247,8200,Educational services,610000,Educational services,97.5,
250,8300,Social services,624000,Social assistance,62.8,
251,8300,Social services,623000,Nursing and residential care facilities,28.0,
254,8400,Museums and botanical and zoological gardens,712000,"Museums, historical sites, zoos, and parks",99.4,
255,8600,Membership organizations,813000,Membership associations & organizations,95.7,
258,8700,Engineering and management services,540000,Professional and technical services,87.3,
261,8900,"Services, nec",540000,Professional and technical services,53.2,
262,8900,"Services, nec",711000,Performing arts and spectator sports,26.3,
267,1010,Iron ores,212200,Metal ore mining,100.0,
268,1020,Copper ores,212200,Metal ore mining,97.2,
270,1030,Lead and zinc ores,212200,Metal ore mining,100.0,
271,1040,Gold and silver ores,212200,Metal ore mining,97.5,
273,1090,Other metal ores and mining services,212200,Metal ore mining,66.1,
274,1090,Other metal ores and mining services,213000,Support activities for mining,24.3,
278,1220,Bituminous coal and lignite mining,212100,Coal mining,98.0,
280,1240,Anthracite mining and coal mining services,213000,Support activities for mining,59.1,
281,1240,Anthracite mining and coal mining services,238900,Other specialty trade contractors,22.1,
284,1310,Crude petroleum and natural gas,211000,Oil and gas extraction,95.9,
287,1320,Natural gas liquids,211000,Oil and gas extraction,99.7,
288,1380,Oil and gas field services,213000,Support activities for mining,89.9,
292,1420,Crushed and broken stone,212300,Nonmetallic mineral mining and quarrying,95.0,
294,1440,Sand and gravel,212300,Nonmetallic mineral mining and quarrying,97.4,
296,1450,"Clay, ceramic, and refractory minerals",212300,Nonmetallic mineral mining and quarrying,90.9,
299,1470,Chemical and fertilizer minerals,212300,Nonmetallic mineral mining and quarrying,99.1,
300,1490,Dimension stone and other nonmetallic minerals,212300,Nonmetallic mineral mining and quarrying,88.1,
303,1520,Residential building,236100,Residential building,97.9,
305,1530,Operative builders,236100,Residential building,85.1,
309,1540,Nonresidential building,236200,Nonresidential building,99.1,
310,1610,Highway and street construction,237300,"Highway, street, and bridge construction",98.3,
312,1620,"Heavy construction, except highway",237100,Utility system construction,58.6,
317,1710,"Plumbing, heating, and air conditioning",238200,Building equipment contractors,98.4,
319,1720,Painting and paper hanging,238300,Building finishing contractors,97.0,
321,1730,Electrical work,238200,Building equipment contractors,99.3,
322,1740,"Masonry, stonework, and plastering",238300,Building finishing contractors,65.4,
323,1740,"Masonry, stonework, and plastering",238100,Building foundation and exterior contractors,34.2,
324,1750,Carpentry and floor work,238300,Building finishing contractors,63.3,
325,1750,Carpentry and floor work,238100,Building foundation and exterior contractors,36.6,
326,1760,"Roofing, siding, and sheet metal work",238100,Building foundation and exterior contractors,86.6,
